Q1,E1,Q2,E2,Q3,E3,Q4,E4,Q5,E5
95,40.08000912,,,84,38.50611582,,,,
96,40.4126384,,,85,38.86447317,,,,
97,40.74534095,,,86,39.22291543,,,,
98,41.07811453,,,87,39.58143967,,,,
99,41.41095697,,,88,39.94004307,,,,
100,41.7438662,,,89,40.29872295,,,,
101,42.07684024,,,90,40.65747674,,,,
102,42.40987717,,,91,41.01630199,,,,
103,42.74297515,,,92,41.37519636,,,,
104,43.07613243,,,93,41.7341576,,,,
105,43.40934729,,,94,42.09318357,,,,
106,43.74261809,,,95,42.45227221,,,,
107,44.07594328,,,96,42.81142154,,,,
108,44.40932132,,,97,43.1706297,,,,
109,44.74275076,,,98,43.52989485,,,,
110,45.07623018,,,99,43.88921527,,,,
111,45.40975824,,,100,44.2485893,,,,
112,45.74333362,,,101,44.60801532,,,,
113,46.07695506,,,102,44.96749181,,,,
114,46.41062133,,,103,45.32701729,,,,
115,46.74433127,,,104,45.68659033,,,,
116,47.07808374,,,105,46.04620958,,,,
117,47.41187764,,,106,46.40587372,,,,
118,47.74571191,,,107,46.76558149,,,,
119,48.07958553,,,108,47.12533166,,,,
120,48.41349751,,,109,47.48512308,,,,
121,48.74744689,,,110,47.8449546,,,,
122,49.08143275,,,111,48.20482515,,,,
123,49.41545419,,,112,48.56473367,,,,
124,49.74951034,,,113,48.92467915,,,,
125,50.08360036,,,114,49.28466062,,,,
,,,,115,49.64467714,,,,
,,,,116,50.00472779,,,,
